date,company_id,price,date_created
2020-05-12,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.09,2020-05-12 02:01:49.7700000
2020-05-13,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.13,2020-05-13 02:01:06.4100000
2020-05-14,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.12,2020-05-14 02:01:09.3000000
2020-05-15,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.17,2020-05-15 02:02:32.1100000
2020-05-18,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.12,2020-05-18 02:01:23.9400000
2020-05-19,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.11,2020-05-19 02:01:25.2100000
2020-05-20,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.1,2020-05-20 02:02:19.2566667
2020-05-21,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.09,2020-05-21 02:01:17.1333333
2020-05-22,FC7B296B-300B-4710-8F84-D68A5BFBC75B,3.06,2020-05-22 02:01:14.4300000
2020-03-25,743F0744-8987-4339-B565-DEE3A93E9934,245.52,2020-03-25 16:02:26.5500000
2020-03-26,743F0744-8987-4339-B565-DEE3A93E9934,258.46,2020-03-26 16:02:23.8466667
2020-03-27,743F0744-8987-4339-B565-DEE3A93E9934,247.74,2020-03-27 16:02:22.6066667
2020-03-30,743F0744-8987-4339-B565-DEE3A93E9934,254.81,2020-03-30 16:02:35.1233333
2020-03-31,743F0744-8987-4339-B565-DEE3A93E9934,253.12,2020-03-31 16:02:28.5433333
2020-04-01,743F0744-8987-4339-B565-DEE3A93E9934,240.91,2020-04-01 16:02:20.4333333
2020-04-02,743F0744-8987-4339-B565-DEE3A93E9934,244.93,2020-04-02 16:02:28.9766667
2020-04-03,743F0744-8987-4339-B565-DEE3A93E9934,241.41,2020-04-03 16:02:27.2900000
2020-04-06,743F0744-8987-4339-B565-DEE3A93E9934,262.47,2020-04-06 16:02:36.7200000
2020-04-07,743F0744-8987-4339-B565-DEE3A93E9934,259.43,2020-04-07 16:02:30.7266667
2020-04-08,743F0744-8987-4339-B565-DEE3A93E9934,266.07,2020-04-08 16:02:42.3100000
2020-04-09,743F0744-8987-4339-B565-DEE3A93E9934,267.99,2020-04-09 16:02:20.7100000
2020-04-13,743F0744-8987-4339-B565-DEE3A93E9934,273.25,2020-04-13 16:02:55.1900000
2020-04-14,743F0744-8987-4339-B565-DEE3A93E9934,287.05,2020-04-14 16:02:49.1533333
2020-04-15,743F0744-8987-4339-B565-DEE3A93E9934,284.43,2020-04-15 16:02:44.2400000
2020-04-16,743F0744-8987-4339-B565-DEE3A93E9934,286.69,2020-04-16 16:02:33.1233333
2020-04-17,743F0744-8987-4339-B565-DEE3A93E9934,282.8,2020-04-17 16:02:06.1433333
2020-04-20,743F0744-8987-4339-B565-DEE3A93E9934,276.93,2020-04-20 16:02:24.6700000
2020-04-21,743F0744-8987-4339-B565-DEE3A93E9934,268.37,2020-04-21 16:02:11.6766667
2020-04-22,743F0744-8987-4339-B565-DEE3A93E9934,275.76,2020-04-22 16:02:11.2633333
2020-04-23,743F0744-8987-4339-B565-DEE3A93E9934,275.03,2020-04-23 16:01:32.7633333
2020-04-24,743F0744-8987-4339-B565-DEE3A93E9934,282.97,2020-04-24 16:01:31.4433333
2020-04-27,743F0744-8987-4339-B565-DEE3A93E9934,283.17,2020-04-27 16:01:31.5800000
2020-04-28,743F0744-8987-4339-B565-DEE3A93E9934,278.58,2020-04-28 16:01:37.9200000
2020-04-29,743F0744-8987-4339-B565-DEE3A93E9934,287.73,2020-04-29 16:01:33.9500000
2020-04-30,743F0744-8987-4339-B565-DEE3A93E9934,293.949,2020-04-30 16:01:36.2166667
2020-05-01,743F0744-8987-4339-B565-DEE3A93E9934,289.07,2020-05-01 16:17:13.2100000
2020-05-04,743F0744-8987-4339-B565-DEE3A93E9934,293.16,2020-05-04 16:02:12.3400000
2020-05-05,743F0744-8987-4339-B565-DEE3A93E9934,297.56,2020-05-05 16:02:10.5233333
2020-05-06,743F0744-8987-4339-B565-DEE3A93E9934,300.63,2020-05-06 16:02:11.4500000
2020-05-07,743F0744-8987-4339-B565-DEE3A93E9934,303.74,2020-05-07 16:01:52.1300000
2020-05-08,743F0744-8987-4339-B565-DEE3A93E9934,310.13,2020-05-08 16:02:53.3100000
2020-05-11,743F0744-8987-4339-B565-DEE3A93E9934,315.01,2020-05-11 16:02:06.9800000
2020-05-12,743F0744-8987-4339-B565-DEE3A93E9934,311.41,2020-05-12 16:02:46.1633333
2020-05-13,743F0744-8987-4339-B565-DEE3A93E9934,307.65,2020-05-13 16:01:53.0400000
2020-05-14,743F0744-8987-4339-B565-DEE3A93E9934,309.54,2020-05-14 16:02:10.1600000
2020-05-15,743F0744-8987-4339-B565-DEE3A93E9934,307.691,2020-05-15 16:02:34.2533333
2020-05-18,743F0744-8987-4339-B565-DEE3A93E9934,314.96,2020-05-18 16:02:20.6266667
2020-05-19,743F0744-8987-4339-B565-DEE3A93E9934,313.14,2020-05-19 16:01:48.7200000
2020-05-20,743F0744-8987-4339-B565-DEE3A93E9934,319.23,2020-05-20 16:02:11.1466667
2020-05-21,743F0744-8987-4339-B565-DEE3A93E9934,316.85,2020-05-21 16:01:18.8033333
2020-05-22,743F0744-8987-4339-B565-DEE3A93E9934,318.89,2020-05-22 16:01:37.0000000
2020-03-25,D0665877-9EC5-4568-8A29-E8FFF77DF072,1885.84,2020-03-25 16:02:23.2533333
2020-03-26,D0665877-9EC5-4568-8A29-E8FFF77DF072,1955.49,2020-03-26 16:02:22.5866667
2020-03-27,D0665877-9EC5-4568-8A29-E8FFF77DF072,1900.1,2020-03-27 16:02:24.1266667
2020-03-30,D0665877-9EC5-4568-8A29-E8FFF77DF072,1963.95,2020-03-30 16:02:38.0366667
2020-03-31,D0665877-9EC5-4568-8A29-E8FFF77DF072,1948.62,2020-03-31 16:02:31.9366667
2020-04-01,D0665877-9EC5-4568-8A29-E8FFF77DF072,1907.7,2020-04-01 16:02:21.1666667
2020-04-02,D0665877-9EC5-4568-8A29-E8FFF77DF072,1918.83,2020-04-02 16:02:26.8500000
2020-04-03,D0665877-9EC5-4568-8A29-E8FFF77DF072,1906.59,2020-04-03 16:02:28.7866667
2020-04-06,D0665877-9EC5-4568-8A29-E8FFF77DF072,1997.59,2020-04-06 16:02:39.9566667
2020-04-07,D0665877-9EC5-4568-8A29-E8FFF77DF072,2011.6,2020-04-07 16:02:32.0766667
2020-04-08,D0665877-9EC5-4568-8A29-E8FFF77DF072,2043.0,2020-04-08 16:02:43.7800000
2020-04-09,D0665877-9EC5-4568-8A29-E8FFF77DF072,2042.76,2020-04-09 16:02:23.0366667
2020-04-13,D0665877-9EC5-4568-8A29-E8FFF77DF072,2168.87,2020-04-13 16:02:56.9000000
2020-04-14,D0665877-9EC5-4568-8A29-E8FFF77DF072,2283.32,2020-04-14 16:02:50.6500000
2020-04-15,D0665877-9EC5-4568-8A29-E8FFF77DF072,2307.68,2020-04-15 16:02:45.3833333
2020-04-16,D0665877-9EC5-4568-8A29-E8FFF77DF072,2408.19,2020-04-16 16:02:34.0133333
2020-04-17,D0665877-9EC5-4568-8A29-E8FFF77DF072,2375.0,2020-04-17 16:02:08.5466667
2020-04-20,D0665877-9EC5-4568-8A29-E8FFF77DF072,2393.61,2020-04-20 16:02:26.9700000
2020-04-21,D0665877-9EC5-4568-8A29-E8FFF77DF072,2328.12,2020-04-21 16:02:12.8466667
2020-04-22,D0665877-9EC5-4568-8A29-E8FFF77DF072,2363.49,2020-04-22 16:02:16.1666667
2020-04-23,D0665877-9EC5-4568-8A29-E8FFF77DF072,2399.45,2020-04-23 16:01:35.0600000
2020-04-24,D0665877-9EC5-4568-8A29-E8FFF77DF072,2410.22,2020-04-24 16:01:34.9000000
2020-04-27,D0665877-9EC5-4568-8A29-E8FFF77DF072,2376.0,2020-04-27 16:01:35.4533333
2020-04-28,D0665877-9EC5-4568-8A29-E8FFF77DF072,2314.08,2020-04-28 16:01:36.5366667
2020-04-29,D0665877-9EC5-4568-8A29-E8FFF77DF072,2372.71,2020-04-29 16:01:36.1666667
2020-04-30,D0665877-9EC5-4568-8A29-E8FFF77DF072,2474.0,2020-04-30 16:01:34.9500000
2020-05-01,D0665877-9EC5-4568-8A29-E8FFF77DF072,2286.04,2020-05-01 16:17:15.6666667
2020-05-04,D0665877-9EC5-4568-8A29-E8FFF77DF072,2315.99,2020-05-04 16:02:14.6666667
2020-05-05,D0665877-9EC5-4568-8A29-E8FFF77DF072,2317.8,2020-05-05 16:02:12.9666667
2020-05-06,D0665877-9EC5-4568-8A29-E8FFF77DF072,2351.26,2020-05-06 16:02:12.9266667
2020-05-07,D0665877-9EC5-4568-8A29-E8FFF77DF072,2367.61,2020-05-07 16:01:55.8833333
2020-05-08,D0665877-9EC5-4568-8A29-E8FFF77DF072,2379.61,2020-05-08 16:02:55.7700000
2020-05-11,D0665877-9EC5-4568-8A29-E8FFF77DF072,2409.0,2020-05-11 16:02:09.5333333
2020-05-12,D0665877-9EC5-4568-8A29-E8FFF77DF072,2356.95,2020-05-12 16:02:49.2666667
2020-05-13,D0665877-9EC5-4568-8A29-E8FFF77DF072,2367.92,2020-05-13 16:01:54.5300000
2020-05-14,D0665877-9EC5-4568-8A29-E8FFF77DF072,2388.85,2020-05-14 16:02:11.3200000
2020-05-15,D0665877-9EC5-4568-8A29-E8FFF77DF072,2409.78,2020-05-15 16:02:36.6466667
2020-05-18,D0665877-9EC5-4568-8A29-E8FFF77DF072,2426.26,2020-05-18 16:02:22.6233333
2020-05-19,D0665877-9EC5-4568-8A29-E8FFF77DF072,2449.33,2020-05-19 16:01:49.5533333
2020-05-20,D0665877-9EC5-4568-8A29-E8FFF77DF072,2497.94,2020-05-20 16:02:12.6233333
2020-05-21,D0665877-9EC5-4568-8A29-E8FFF77DF072,2446.74,2020-05-21 16:01:19.8533333
2020-05-22,D0665877-9EC5-4568-8A29-E8FFF77DF072,2436.88,2020-05-22 16:01:38.1800000
2020-03-25,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,156.21,2020-03-25 16:02:07.2166667
2020-03-26,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,163.34,2020-03-26 16:02:05.6533333
2020-03-27,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,156.79,2020-03-27 16:02:02.6300000
2020-03-30,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,165.95,2020-03-30 16:02:11.7500000
2020-03-31,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,166.4,2020-03-31 16:02:11.1666667
2020-04-01,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,159.6,2020-04-01 16:01:59.9600000
2020-04-02,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,158.19,2020-04-02 16:02:05.9533333
2020-04-03,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,154.18,2020-04-03 16:02:07.1300000
2020-04-06,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,165.55,2020-04-06 16:02:10.3466667
2020-04-07,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,168.83,2020-04-07 16:02:12.8333333
2020-04-08,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,174.28,2020-04-08 16:02:25.6933333
2020-04-09,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,175.19,2020-04-09 16:02:01.5000000
2020-04-13,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,174.79,2020-04-13 16:02:29.1066667
2020-04-14,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,178.17,2020-04-14 16:02:29.2133333
2020-04-15,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,176.97,2020-04-15 16:02:26.0300000
2020-04-16,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,176.25,2020-04-16 16:02:12.3833333
2020-04-17,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,179.24,2020-04-17 16:01:46.8666667
2020-04-20,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,178.24,2020-04-20 16:02:01.5166667
2020-04-21,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,170.8,2020-04-21 16:01:54.6366667
2020-04-22,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,182.28,2020-04-22 16:01:50.1966667
2020-04-23,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,185.13,2020-04-23 16:01:13.9900000
2020-04-24,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,190.07,2020-04-24 16:01:13.2466667
2020-04-27,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,187.5,2020-04-27 16:01:13.4400000
2020-04-28,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,182.91,2020-04-28 16:01:16.2900000
2020-04-29,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,194.19,2020-04-29 16:01:12.8933333
2020-04-30,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,204.349,2020-04-30 16:01:12.1266667
2020-05-01,8ACBC59A-0EC5-42D1-9F7B-6D31ABD4421E,202.27,2020-05-01 16:16:54.8866667
